期号,num1,num2,num3,和值,跨度,类型
2004001,1,9,2,12,8,组六
2004002,3,1,7,11,6,组六
2004003,7,1,8,16,7,组六
2004004,4,4,3,11,1,组三
2004005,0,5,4,9,5,组六
2004006,5,2,6,13,4,组六
2004007,8,3,0,11,8,组六
2004008,6,2,2,10,4,组三
2004009,4,4,1,9,3,组三
2004010,2,2,7,11,5,组三
2004011,4,3,6,13,3,组六
2004012,4,3,0,7,4,组六
2004013,0,0,3,3,3,组三
2004014,3,3,5,11,2,组三
2004015,4,5,9,18,5,组六
2004016,4,4,4,12,0,豹子
2004017,4,1,9,14,8,组六
2004018,6,1,2,9,5,组六
2004019,4,7,1,12,6,组六
2004020,8,1,0,9,8,组六
2004021,3,9,3,15,6,组三
2004022,5,9,1,15,8,组六
2004023,8,7,1,16,7,组六
2004024,8,8,6,22,2,组三
2004025,6,1,8,15,7,组六
2004026,6,2,1,9,5,组六
2004027,3,6,3,12,3,组三
2004028,0,7,5,12,7,组六
2004029,2,5,6,13,4,组六
2004030,1,2,0,3,2,组六
2004031,3,6,2,11,4,组六
2004032,3,7,8,18,5,组六
2004033,5,0,5,10,5,组三
2004034,9,9,5,23,4,组三
2004035,3,7,4,14,4,组六
2004036,0,0,9,9,9,组三
2004037,3,2,5,10,3,组六
2004038,4,2,5,11,3,组六
2004039,8,0,2,10,8,组六
2004040,5,6,6,17,1,组三
2004041,8,1,4,13,7,组六
2004042,7,8,0,15,8,组六
2004043,7,0,4,11,7,组六
2004044,3,8,2,13,6,组六
2005001,0,5,4,9,5,组六
2005002,3,6,6,15,3,组三
2005003,4,3,1,8,3,组六
2005004,6,7,4,17,3,组六
2005005,2,9,9,20,7,组三
2005006,4,2,0,6,4,组六
2005007,4,3,5,12,2,组六
2005008,2,8,1,11,7,组六
2005009,8,6,9,23,3,组六
2005010,4,1,6,11,5,组六
2005011,2,0,4,6,4,组六
2005012,1,9,6,16,8,组六
2005013,6,1,3,10,5,组六
2005014,0,8,5,13,8,组六
2005015,3,6,7,16,4,组六
2005016,6,6,5,17,1,组三
2005017,1,5,7,13,6,组六
2005018,0,5,5,10,5,组三
2005019,5,7,4,16,3,组六
2005020,9,2,2,13,7,组三
2005021,0,0,1,1,1,组三
2005022,9,3,8,20,6,组六
2005023,0,8,0,8,8,组三
2005024,3,1,2,6,2,组六
2005025,7,5,5,17,2,组三
2005026,2,7,7,16,5,组三
2005027,0,1,4,5,4,组六
2005028,8,6,2,16,6,组六
2005029,6,2,8,16,6,组六
2005030,4,5,9,18,5,组六
2005031,5,0,4,9,5,组六
2005032,3,6,1,10,5,组六
2005033,5,9,0,14,9,组六
2005034,1,8,6,15,7,组六
2005035,8,3,0,11,8,组六
2005036,9,4,2,15,7,组六
2005037,7,0,8,15,8,组六
2005038,3,1,9,13,8,组六
2005039,0,2,8,10,8,组六
2005040,0,4,7,11,7,组六
2005041,1,3,3,7,2,组三
2005042,2,3,4,9,2,组六
2005043,8,4,5,17,4,组六
2005044,9,5,5,19,4,组三
2005045,4,0,0,4,4,组三
2005046,5,4,5,14,1,组三
2005047,4,2,9,15,7,组六
2005048,7,6,1,14,6,组六
2005049,7,9,0,16,9,组六
2005050,1,0,4,5,4,组六
2005051,2,4,7,13,5,组六
2005052,3,0,6,9,6,组六
2005053,1,7,5,13,6,组六
2005054,5,1,9,15,8,组六
2005055,0,1,4,5,4,组六
2005056,6,0,0,6,6,组三
2005057,8,1,3,12,7,组六
2005058,3,5,3,11,2,组三
2005059,9,8,3,20,6,组六
2005060,9,6,0,15,9,组六
2005061,9,1,2,12,8,组六
2005062,7,9,6,22,3,组六
2005063,1,8,1,10,7,组三
2005064,9,6,9,24,3,组三
2005065,8,9,5,22,4,组六
2005066,6,2,6,14,4,组三
2005067,1,6,9,16,8,组六
2005068,9,0,3,12,9,组六
2005069,7,4,3,14,4,组六
2005070,9,8,4,21,5,组六
2005071,9,1,7,17,8,组六
2005072,2,5,6,13,4,组六
2005073,2,3,2,7,1,组三
2005074,0,0,6,6,6,组三
2005075,7,0,0,7,7,组三
2005076,4,1,8,13,7,组六
2005077,6,4,8,18,4,组六
2005078,8,4,2,14,6,组六
2005079,9,5,9,23,4,组三
2005080,4,9,5,18,5,组六
2005081,2,5,0,7,5,组六
2005082,2,1,6,9,5,组六
2005083,7,0,2,9,7,组六
2005084,2,7,7,16,5,组三
2005085,9,4,2,15,7,组六
2005086,6,3,5,14,3,组六
2005087,1,5,5,11,4,组三
2005088,1,4,4,9,3,组三
2005089,0,9,1,10,9,组六
2005090,0,6,5,11,6,组六
2005091,1,0,2,3,2,组六
2005092,2,9,9,20,7,组三
2005093,8,6,1,15,7,组六
